year	beat	count_incidents
2014	115	1
2014	132	1
2014	211	2
2014	232	1
2014	253	1
2014	341	1
2014	535	1
2014	635	1
2015	NULL	36
2015	111	247
2015	112	302
2015	113	254
2015	114	361
2015	115	382
2015	116	133
2015	121	331
2015	122	329
2015	123	204
2015	124	362
2015	125	460
2015	131	421
2015	132	538
2015	133	388
2015	134	295
2015	135	305
2015	136	77
2015	141	437
2015	142	279
2015	143	623
2015	144	309
2015	145	252
2015	146	248
2015	151	436
2015	152	241
2015	153	443
2015	154	541
2015	155	328
2015	156	245
2015	211	257
2015	212	229
2015	213	195
2015	214	333
2015	215	392
2015	216	476
2015	217	154
2015	218	245
2015	219	387
2015	221	124
2015	222	250
2015	223	411
2015	224	390
2015	225	311
2015	226	303
2015	227	349
2015	228	324
2015	229	24
2015	231	368
2015	232	364
2015	233	501
2015	234	329
2015	235	330
2015	236	239
2015	237	395
2015	238	186
2015	241	369
2015	242	222
2015	243	243
2015	244	209
2015	245	186
2015	246	284
2015	247	195
2015	248	355
2015	251	222
2015	252	690
2015	253	295
2015	254	184
2015	255	351
2015	256	343
2015	257	477
2015	258	288
2015	311	293
2015	312	240
2015	313	270
2015	314	126
2015	315	295
2015	316	227
2015	317	261
2015	318	807
2015	321	270
2015	322	323
2015	323	415
2015	324	290
2015	325	382
2015	326	326
2015	327	316
2015	328	206
2015	331	336
2015	332	358
2015	333	384
2015	334	251
2015	335	246
2015	336	375
2015	337	346
2015	338	355
2015	341	167
2015	342	201
2015	343	318
2015	344	235
2015	345	271
2015	346	265
2015	347	185
2015	348	155
2015	351	302
2015	352	417
2015	353	303
2015	354	281
2015	355	317
2015	356	366
2015	357	434
2015	411	291
2015	412	328
2015	413	444
2015	414	265
2015	415	328
2015	416	605
2015	417	298
2015	421	286
2015	422	345
2015	423	304
2015	424	328
2015	425	257
2015	426	330
2015	431	444
2015	432	426
2015	433	340
2015	434	378
2015	435	275
2015	436	289
2015	437	307
2015	441	272
2015	442	384
2015	443	334
2015	444	312
2015	445	471
2015	446	313
2015	447	390
2015	451	334
2015	452	401
2015	453	240
2015	454	425
2015	455	368
2015	456	434
2015	512	349
2015	513	512
2015	514	337
2015	515	273
2015	516	336
2015	517	313
2015	521	740
2015	522	460
2015	523	608
2015	524	255
2015	525	284
2015	526	320
2015	532	261
2015	533	268
2015	534	648
2015	535	399
2015	536	303
2015	537	391
2015	538	335
2015	539	21
2015	541	380
2015	542	346
2015	543	180
2015	544	277
2015	545	240
2015	546	252
2015	551	194
2015	552	441
2015	553	378
2015	554	319
2015	555	175
2015	556	256
2015	611	330
2015	612	396
2015	613	409
2015	614	571
2015	621	242
2015	622	322
2015	623	361
2015	624	192
2015	625	338
2015	631	355
2015	632	441
2015	633	283
2015	634	113
2015	635	578
2015	641	392
2015	642	302
2015	643	378
2015	644	448
2015	651	213
2015	652	253
2015	653	364
2015	654	489
2015	711	210
2015	712	147
2015	713	243
2015	714	250
2015	715	255
2015	716	173
2015	717	173
2015	721	262
2015	722	216
2015	723	238
2015	724	262
2015	725	242
2015	726	263
2015	727	186
2015	728	250
2015	731	184
2015	732	212
2015	733	206
2015	734	242
2015	735	275
2015	736	326
2015	737	240
2015	741	270
2015	742	235
2015	743	390
2015	744	578
2015	745	436
2015	746	172
2015	747	236
2015	748	292
2015	751	296
2015	752	278
2015	753	210
2015	754	223
2015	755	181
2015	756	219
2015	757	151
2016	NULL	21
2016	111	331
2016	112	366
2016	113	360
2016	114	475
2016	115	532
2016	116	235
2016	121	523
2016	122	622
2016	123	324
2016	124	492
2016	125	568
2016	131	613
2016	132	667
2016	133	401
2016	134	423
2016	135	424
2016	136	182
2016	141	537
2016	142	325
2016	143	812
2016	144	392
2016	145	380
2016	146	334
2016	151	484
2016	152	372
2016	153	648
2016	154	763
2016	155	488
2016	156	347
2016	211	334
2016	212	424
2016	213	282
2016	214	401
2016	215	407
2016	216	685
2016	217	391
2016	218	358
2016	219	601
2016	221	217
2016	222	318
2016	223	531
2016	224	532
2016	225	444
2016	226	423
2016	227	490
2016	228	392
2016	229	17
2016	231	549
2016	232	461
2016	233	694
2016	234	545
2016	235	419
2016	236	358
2016	237	438
2016	238	256
2016	241	489
2016	242	402
2016	243	302
2016	244	252
2016	245	231
2016	246	281
2016	247	237
2016	248	480
2016	251	333
2016	252	941
2016	253	358
2016	254	355
2016	255	417
2016	256	437
2016	257	626
2016	258	535
2016	311	375
2016	312	285
2016	313	453
2016	314	191
2016	315	404
2016	316	304
2016	317	352
2016	318	979
2016	321	339
2016	322	345
2016	323	526
2016	324	356
2016	325	459
2016	326	411
2016	327	512
2016	328	227
2016	331	450
2016	332	449
2016	333	443
2016	334	263
2016	335	313
2016	336	494
2016	337	484
2016	338	511
2016	341	246
2016	342	232
2016	343	397
2016	344	322
2016	345	299
2016	346	388
2016	347	256
2016	348	240
2016	351	455
2016	352	430
2016	353	319
2016	354	437
2016	355	336
2016	356	484
2016	357	577
2016	411	447
2016	412	431
2016	413	577
2016	414	354
2016	415	423
2016	416	771
2016	417	363
2016	421	324
2016	422	328
2016	423	353
2016	424	434
2016	425	292
2016	426	420
2016	431	623
2016	432	564
2016	433	431
2016	434	449
2016	435	379
2016	436	437
2016	437	490
2016	441	427
2016	442	413
2016	443	495
2016	444	472
2016	445	578
2016	446	430
2016	447	469
2016	451	484
2016	452	475
2016	453	310
2016	454	517
2016	455	561
2016	456	620
2016	512	458
2016	513	674
2016	514	402
2016	515	407
2016	516	433
2016	517	478
2016	521	1030
2016	522	706
2016	523	848
2016	524	305
2016	525	346
2016	526	436
2016	532	402
2016	533	415
2016	534	861
2016	535	539
2016	536	374
2016	537	588
2016	538	496
2016	539	36
2016	541	490
2016	542	467
2016	543	236
2016	544	367
2016	545	285
2016	546	276
2016	551	264
2016	552	616
2016	553	490
2016	554	352
2016	555	266
2016	556	361
2016	611	440
2016	612	481
2016	613	430
2016	614	691
2016	621	309
2016	622	435
2016	623	484
2016	624	349
2016	625	476
2016	631	543
2016	632	589
2016	633	339
2016	634	130
2016	635	812
2016	641	623
2016	642	480
2016	643	543
2016	644	629
2016	651	328
2016	652	332
2016	653	389
2016	654	597
2016	711	298
2016	712	234
2016	713	345
2016	714	343
2016	715	381
2016	716	262
2016	717	233
2016	721	422
2016	722	317
2016	723	355
2016	724	420
2016	725	317
2016	726	321
2016	727	280
2016	728	389
2016	731	300
2016	732	312
2016	733	288
2016	734	400
2016	735	459
2016	736	489
2016	737	323
2016	741	360
2016	742	288
2016	743	463
2016	744	760
2016	745	533
2016	746	260
2016	747	311
2016	748	346
2016	751	405
2016	752	260
2016	753	304
2016	754	296
2016	755	305
2016	756	362
2016	757	274
2017	NULL	9
2017	111	58
2017	112	77
2017	113	103
2017	114	90
2017	115	56
2017	116	54
2017	121	117
2017	122	154
2017	123	73
2017	124	110
2017	125	132
2017	131	126
2017	132	178
2017	133	113
2017	134	80
2017	135	116
2017	136	62
2017	141	139
2017	142	94
2017	143	199
2017	144	86
2017	145	84
2017	146	81
2017	151	89
2017	152	84
2017	153	198
2017	154	150
2017	155	117
2017	156	76
2017	211	70
2017	212	81
2017	213	80
2017	214	103
2017	215	83
2017	216	144
2017	217	66
2017	218	75
2017	219	176
2017	221	57
2017	222	80
2017	223	120
2017	224	121
2017	225	116
2017	226	108
2017	227	123
2017	228	100
2017	231	148
2017	232	114
2017	233	195
2017	234	107
2017	235	127
2017	236	102
2017	237	98
2017	238	67
2017	241	124
2017	242	85
2017	243	64
2017	244	47
2017	245	56
2017	246	65
2017	247	82
2017	248	103
2017	251	93
2017	252	205
2017	253	97
2017	254	82
2017	255	87
2017	256	83
2017	257	146
2017	258	109
2017	311	72
2017	312	72
2017	313	60
2017	314	41
2017	315	85
2017	316	69
2017	317	52
2017	318	228
2017	321	88
2017	322	74
2017	323	109
2017	324	86
2017	325	91
2017	326	93
2017	327	101
2017	328	75
2017	331	103
2017	332	147
2017	333	103
2017	334	62
2017	335	50
2017	336	120
2017	337	109
2017	338	97
2017	341	72
2017	342	49
2017	343	76
2017	344	109
2017	345	75
2017	346	95
2017	347	59
2017	348	62
2017	351	117
2017	352	120
2017	353	72
2017	354	93
2017	355	105
2017	356	84
2017	357	160
2017	411	118
2017	412	128
2017	413	154
2017	414	103
2017	415	110
2017	416	146
2017	417	104
2017	421	81
2017	422	96
2017	423	110
2017	424	111
2017	425	80
2017	426	134
2017	431	123
2017	432	130
2017	433	90
2017	434	102
2017	435	99
2017	436	65
2017	437	114
2017	441	100
2017	442	71
2017	443	122
2017	444	90
2017	445	184
2017	446	113
2017	447	108
2017	451	97
2017	452	135
2017	453	74
2017	454	95
2017	455	140
2017	456	122
2017	512	135
2017	513	175
2017	514	89
2017	515	101
2017	516	78
2017	517	130
2017	521	224
2017	522	176
2017	523	202
2017	524	61
2017	525	76
2017	526	98
2017	532	81
2017	533	82
2017	534	226
2017	535	168
2017	536	87
2017	537	156
2017	538	104
2017	539	6
2017	541	117
2017	542	99
2017	543	62
2017	544	96
2017	545	92
2017	546	53
2017	551	74
2017	552	187
2017	553	150
2017	554	102
2017	555	62
2017	556	72
2017	611	94
2017	612	123
2017	613	116
2017	614	201
2017	621	65
2017	622	106
2017	623	132
2017	624	63
2017	625	101
2017	631	107
2017	632	146
2017	633	85
2017	634	30
2017	635	173
2017	641	117
2017	642	110
2017	643	126
2017	644	112
2017	651	69
2017	652	70
2017	653	104
2017	654	162
2017	711	70
2017	712	55
2017	713	77
2017	714	120
2017	715	80
2017	716	47
2017	717	76
2017	721	87
2017	722	73
2017	723	76
2017	724	98
2017	725	87
2017	726	83
2017	727	68
2017	728	88
2017	731	70
2017	732	66
2017	733	48
2017	734	96
2017	735	121
2017	736	101
2017	737	115
2017	741	102
2017	742	55
2017	743	115
2017	744	176
2017	745	113
2017	746	48
2017	747	43
2017	748	69
2017	751	85
2017	752	89
2017	753	55
2017	754	85
2017	755	57
2017	756	85
2017	757	85
