year	division	count_incidents
2014	Central	2
2014	North Central	1
2014	NorthEast	4
2014	NorthWest	1
2014	SouthEast	1
2015	Central	9771
2015	N/A	36
2015	North Central	7770
2015	NorthEast	12779
2015	NorthWest	10851
2015	South Central	9222
2015	SouthEast	11915
2015	SouthWest	11546
2016	Central	13420
2016	N/A	21
2016	North Central	10429
2016	NorthEast	17643
2016	NorthWest	14704
2016	South Central	13015
2016	SouthEast	15343
2016	SouthWest	15141
2017	Central	3096
2017	N/A	9
2017	North Central	2412
2017	NorthEast	4189
2017	NorthWest	3621
2017	South Central	3064
2017	SouthEast	3535
2017	SouthWest	3649
